Episode,Score,Total Steps,Death
1047,0,1,SNAKE
1048,0,5,WALL
1049,0,10,WALL
1050,0,1,SNAKE
1051,0,11,WALL
1052,0,10,WALL
1053,0,1,SNAKE
1054,0,1,SNAKE
1055,0,6,WALL
1056,0,13,WALL
1057,0,19,WALL
1058,0,5,WALL
1059,0,9,WALL
1060,1,7,WALL
1061,0,7,WALL
1062,0,26,WALL
1063,0,6,WALL
1064,0,5,WALL
1065,0,15,WALL
1066,1,20,WALL
1067,0,8,WALL
1068,0,1,SNAKE
1069,0,1,SNAKE
1070,0,11,WALL
1071,1,8,WALL
1072,0,4,WALL
1073,0,5,WALL
1074,0,19,WALL
1075,0,12,WALL
1076,0,28,WALL
1077,0,8,WALL
1078,0,6,WALL
1079,0,1,SNAKE
1080,0,1,SNAKE
1081,0,9,WALL
1082,0,8,WALL
1083,0,1,SNAKE
1084,0,15,WALL
1085,0,9,WALL
1086,0,10,WALL
1087,0,1,SNAKE
1088,0,1,SNAKE
1089,0,18,WALL
1090,0,1,SNAKE
1091,0,1,SNAKE
1092,0,1,SNAKE
1093,0,7,WALL
1094,1,8,WALL
1095,0,1,SNAKE
1096,0,1,SNAKE
1097,0,16,WALL
1098,0,16,WALL
1099,0,1,SNAKE
1100,0,8,WALL
1101,0,15,WALL
1102,0,1,SNAKE
1103,0,8,WALL
1104,0,10,WALL
1105,0,1,SNAKE
1106,0,8,WALL
1107,0,1,SNAKE
1108,1,32,WALL
1109,0,14,WALL
1110,1,16,WALL
1111,0,6,WALL
1112,0,7,WALL
1113,1,7,SNAKE
1114,0,1,SNAKE
1115,0,14,WALL
1116,0,1,SNAKE
1117,0,13,WALL
1118,0,5,WALL
1119,1,26,WALL
1120,0,7,WALL
1121,0,25,WALL
1122,0,18,WALL
1123,0,1,SNAKE
1124,0,1,SNAKE
1125,0,36,WALL
1126,0,9,WALL
1127,0,12,WALL
1128,0,12,WALL
1129,0,9,WALL
1130,0,8,WALL
1131,0,1,SNAKE
1132,1,9,WALL
1133,0,5,WALL
1134,0,1,SNAKE
1135,1,7,SNAKE
1136,0,9,WALL
1137,0,17,WALL
1138,0,1,SNAKE
1139,1,13,WALL
1140,0,5,WALL
1141,0,5,WALL
1142,1,9,WALL
1143,0,22,WALL
1144,0,1,SNAKE
1145,0,10,WALL
1146,0,8,WALL
1147,0,10,WALL
1148,0,22,WALL
1149,0,13,WALL
1150,0,7,WALL
1151,0,1,SNAKE
1152,0,12,WALL
1153,0,7,WALL
1154,0,4,WALL
1155,0,9,WALL
1156,0,14,WALL
1157,1,9,WALL
1158,0,9,WALL
1159,0,6,WALL
1160,0,1,SNAKE
1161,0,1,SNAKE
1162,1,26,WALL
1163,1,3,SNAKE
1164,0,36,WALL
1165,0,11,WALL
1166,0,16,WALL
1167,0,1,SNAKE
1168,0,24,WALL
1169,0,50,WALL
1170,0,9,WALL
1171,0,1,SNAKE
1172,0,1,SNAKE
1173,0,20,WALL
1174,1,6,WALL
1175,0,11,WALL
1176,0,6,WALL
1177,0,9,WALL
1178,0,1,SNAKE
1179,0,10,WALL
1180,0,1,SNAKE
1181,0,12,WALL
1182,0,1,SNAKE
1183,0,20,WALL
1184,0,1,SNAKE
1185,0,1,SNAKE
1186,1,13,WALL
1187,0,14,WALL
1188,0,8,WALL
1189,0,29,WALL
1190,0,7,WALL
1191,0,1,SNAKE
1192,0,31,WALL
1193,0,15,WALL
1194,2,9,WALL
1195,0,21,WALL
1196,0,1,SNAKE
1197,1,15,WALL
1198,1,31,WALL
1199,0,1,SNAKE
1200,0,9,WALL
1201,0,1,SNAKE
1202,0,16,WALL
1203,0,9,WALL
1204,0,1,SNAKE
1205,0,1,SNAKE
1206,0,1,SNAKE
1207,0,50,WALL
1208,0,8,WALL
1209,0,13,WALL
1210,0,16,WALL
1211,0,1,SNAKE
